epoch,time,train/xy_loss,train/cls_loss,train/l1_loss,train/piou_loss,train/smooth_loss,metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/precision(C),metrics/recall(C),metrics/mAP50(C),metrics/mAP50-95(C),val/xy_loss,val/cls_loss,val/l1_loss,val/piou_loss,val/smooth_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,1086.32,0.00038,0.90178,0.00378,0.32894,0,0.55463,0.54064,0.53444,0.38461,0.03039,0.07236,0.01491,0.03168,0.00039,1.08566,0.00376,0.32838,0.00014,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1106.39,0.00038,0.89183,0.00378,0.32892,0,0.55111,0.54428,0.53771,0.38579,0.02933,0.08699,0.01469,0.03115,0.0004,1.08441,0.00379,0.32998,0.00014,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1126.64,0.00037,0.8804,0.00376,0.32784,0,0.55254,0.54519,0.53592,0.38685,0.03037,0.06615,0.01484,0.03129,0.00039,1.0828,0.00375,0.32843,0.00014,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1146.83,0.00038,0.87667,0.00372,0.32534,0,0.54662,0.55219,0.53174,0.38419,0.0318,0.09913,0.01609,0.03284,0.00039,1.09524,0.00375,0.32789,0.00014,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1166.99,0.00038,0.86716,0.00373,0.32595,0,0.54362,0.56229,0.53892,0.3886,0.03345,0.0713,0.01635,0.03413,0.0004,1.06273,0.00377,0.32941,0.00014,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1187.14,0.00038,0.85815,0.00373,0.32628,0,0.55339,0.56617,0.54776,0.39532,0.03133,0.08092,0.01547,0.0319,0.00039,1.05616,0.00375,0.32823,0.00014,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1207.43,0.00037,0.86236,0.00373,0.32595,0,0.56421,0.56041,0.551,0.3982,0.03189,0.08197,0.01636,0.03324,0.00039,1.07005,0.00372,0.32635,0.00014,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1227.48,0.00038,0.84298,0.00371,0.3245,0,0.55021,0.5477,0.53255,0.38507,0.03135,0.07317,0.01573,0.03284,0.00039,1.08443,0.00376,0.32945,0.00014,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1247.6,0.00037,0.83734,0.00371,0.32444,0,0.5365,0.56935,0.53464,0.3846,0.03016,0.11325,0.01633,0.03229,0.00039,1.08919,0.00375,0.32885,0.00014,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1267.66,0.00038,0.83646,0.00371,0.32451,0,0.56826,0.55152,0.54928,0.39704,0.03102,0.13715,0.0172,0.03424,0.0004,1.07147,0.00374,0.32681,0.00014,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1287.85,0.00038,0.82278,0.00368,0.32234,0,0.55099,0.56278,0.53932,0.38971,0.03071,0.08874,0.01516,0.03075,0.00039,1.06897,0.00375,0.32778,0.00014,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1307.89,0.00037,0.81599,0.00369,0.32338,0,0.56429,0.56162,0.54533,0.39188,0.02917,0.06215,0.01401,0.02962,0.00039,1.0711,0.00376,0.32836,0.00014,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1327.9,0.00037,0.81172,0.00367,0.32198,0,0.56712,0.55796,0.55293,0.39967,0.0248,0.19394,0.01746,0.03406,0.00039,1.06884,0.00374,0.32808,0.00014,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,1348.01,0.00037,0.79853,0.00368,0.32313,0,0.56585,0.56007,0.55109,0.39736,0.03011,0.10274,0.0156,0.03271,0.00039,1.07206,0.00371,0.32616,0.00014,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1368.09,0.00038,0.79393,0.00365,0.32066,0,0.56871,0.55759,0.55321,0.39851,0.02949,0.16532,0.01782,0.03483,0.0004,1.07189,0.00375,0.3278,0.00014,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,1388.18,0.00038,0.7872,0.00366,0.32098,0,0.57659,0.54741,0.54577,0.39252,0.0242,0.21067,0.01655,0.03299,0.0004,1.07869,0.00372,0.32613,0.00014,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,1408.34,0.00038,0.77808,0.00364,0.31975,0,0.56794,0.56152,0.55052,0.39711,0.03086,0.13088,0.0167,0.03445,0.00039,1.09008,0.00372,0.32597,0.00014,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,1428.41,0.00038,0.77309,0.00362,0.31889,0,0.56707,0.55088,0.54239,0.39092,0.02235,0.18712,0.015,0.03052,0.00041,1.0821,0.00372,0.32578,0.00014,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,1448.54,0.00039,0.76188,0.00362,0.31805,0,0.56575,0.56304,0.55641,0.40162,0.02569,0.17536,0.01639,0.0323,0.00041,1.09123,0.00371,0.32529,0.00014,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,1468.56,0.00039,0.75928,0.00361,0.31737,0,0.57289,0.55948,0.55616,0.40018,0.02525,0.19403,0.01746,0.03415,0.0004,1.11371,0.00369,0.32451,0.00014,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1488.65,0.00038,0.74764,0.00361,0.31693,0,0.57013,0.56381,0.56211,0.40636,0.02356,0.20039,0.01621,0.03393,0.0004,1.08937,0.0037,0.32367,0.00014,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1508.66,0.00038,0.74145,0.0036,0.31675,0,0.57279,0.56962,0.56309,0.40557,0.02328,0.19771,0.01705,0.03419,0.00039,1.08966,0.00371,0.32504,0.00014,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,1528.69,0.00038,0.73101,0.00359,0.31593,0,0.57225,0.55805,0.55548,0.4015,0.02537,0.20462,0.01733,0.03437,0.00039,1.11124,0.00369,0.32298,0.00014,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,1548.63,0.00038,0.7288,0.00358,0.31503,0,0.55364,0.56,0.54301,0.39279,0.02578,0.19817,0.01735,0.03391,0.00039,1.12252,0.0037,0.32413,0.00014,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1568.62,0.00038,0.71632,0.00357,0.31436,0,0.57439,0.55592,0.55687,0.40219,0.02687,0.20284,0.01802,0.03526,0.0004,1.11993,0.00371,0.32368,0.00014,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,1588.59,0.00038,0.70884,0.00357,0.31372,0,0.56757,0.55384,0.55093,0.39798,0.02507,0.19692,0.01734,0.03401,0.00039,1.12727,0.00371,0.32463,0.00014,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,1608.7,0.00037,0.70808,0.00357,0.31369,0,0.55351,0.57329,0.54801,0.39527,0.02388,0.19412,0.01624,0.03323,0.00039,1.11823,0.00369,0.32302,0.00014,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,1628.64,0.00038,0.69502,0.00355,0.31285,0,0.57443,0.55746,0.55482,0.40114,0.02529,0.19024,0.01684,0.03317,0.0004,1.11362,0.0037,0.32342,0.00014,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,1648.59,0.00038,0.6887,0.00354,0.31168,0,0.57089,0.5524,0.55129,0.39902,0.02663,0.20602,0.01829,0.03633,0.00039,1.13961,0.00369,0.32298,0.00014,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,1668.62,0.00038,0.6824,0.00355,0.31231,0,0.58085,0.55172,0.55545,0.40061,0.02608,0.1954,0.01724,0.03465,0.00038,1.14419,0.00368,0.32289,0.00014,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,1688.59,0.00037,0.67479,0.00353,0.31074,0,0.57223,0.55923,0.55499,0.40123,0.02478,0.18442,0.01626,0.03321,0.00039,1.14392,0.00368,0.32263,0.00014,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,1708.53,0.00038,0.66664,0.00352,0.31039,0,0.56808,0.55987,0.55182,0.39741,0.0271,0.1986,0.01804,0.03518,0.0004,1.16811,0.0037,0.32396,0.00014,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,1728.33,0.00039,0.66802,0.00351,0.31045,0,0.56872,0.56034,0.55729,0.40109,0.0266,0.18456,0.0175,0.03573,0.0004,1.16013,0.00368,0.32249,0.00014,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,1748.22,0.00039,0.65808,0.00351,0.30999,0,0.56964,0.56228,0.55253,0.39884,0.02681,0.20403,0.01806,0.03628,0.0004,1.15449,0.00368,0.32228,0.00014,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
